Nom_Commune;INSEE_Commune;INSEE_Département;Nom_Département;Alea_sismique;Zone_neige;Zone_vent
L'ABERGEMENT-CLEMENCIAT;1001;1;AIN;Zone 2;A2;2
L'ABERGEMENT-DE-VAREY;1002;1;AIN;Zone 3;C2;1
AMBERIEU-EN-BUGEY;1004;1;AIN;Zone 3;C2;1
AMBERIEUX-EN-DOMBES;1005;1;AIN;Zone 2;A2;2
AMBLEON;1006;1;AIN;Zone 3;C2;1
AMBRONAY;1007;1;AIN;Zone 3;C2;1
AMBUTRIX;1008;1;AIN;Zone 3;C2;1
ANDERT-ET-CONDON;1009;1;AIN;Zone 3;C2;1
ANGLEFORT;1010;1;AIN;Zone 3;C2;1
APREMONT;1011;1;AIN;Zone 3;C2;1
ARANC;1012;1;AIN;Zone 3;C2;1
ARANDAS;1013;1;AIN;Zone 3;C2;1
ARBENT;1014;1;AIN;Zone 3;C2;1
ARBIGNIEU;1015;1;AIN;Zone 3;C2;1
ARBIGNY;1016;1;AIN;Zone 2;A2;2
ARGIS;1017;1;AIN;Zone 3;C2;1
ARMIX;1019;1;AIN;Zone 3;C2;1
ARS-SUR-FORMANS;1021;1;AIN;Zone 2;A2;2
ARTEMARE;1022;1;AIN;Zone 3;C2;1
ASNIERES-SUR-SAONE;1023;1;AIN;Zone 2;A2;2
ATTIGNAT;1024;1;AIN;Zone 2;A2;2
BAGE-LA-VILLE;1025;1;AIN;Zone 2;A2;2
BAGE-LE-CHATEL;1026;1;AIN;Zone 2;A2;2
BALAN;1027;1;AIN;Zone 3;A2;2
BANEINS;1028;1;AIN;Zone 2;A2;2
BEAUPONT;1029;1;AIN;Zone 3;A2;2
BEAUREGARD;1030;1;AIN;Zone 2;A2;2
BELLIGNAT;1031;1;AIN;Zone 3;C2;1
BELIGNEUX;1032;1;AIN;Zone 3;A2;2
BELLEGARDE-SUR-VALSERINE;1033;1;AIN;Zone 3;C2;1
BELLEY;1034;1;AIN;Zone 3;C2;1
BELLEYDOUX;1035;1;AIN;Zone 3;C2;1
BELMONT-LUTHEZIEU;1036;1;AIN;Zone 3;C2;1
BENONCES;1037;1;AIN;Zone 3;C2;1
BENY;1038;1;AIN;Zone 3;A2;2
BEON;1039;1;AIN;Zone 3;C2;1
BEREZIAT;1040;1;AIN;Zone 2;A2;2
BETTANT;1041;1;AIN;Zone 3;C2;1
BEY;1042;1;AIN;Zone 2;A2;2
BEYNOST;1043;1;AIN;Zone 2;A2;2
BILLIAT;1044;1;AIN;Zone 3;C2;1
BIRIEUX;1045;1;AIN;Zone 2;A2;2
BIZIAT;1046;1;AIN;Zone 2;A2;2
BLYES;1047;1;AIN;Zone 3;C2;1
LA BOISSE;1049;1;AIN;Zone 3;A2;2
BOISSEY;1050;1;AIN;Zone 2;A2;2
BOLOZON;1051;1;AIN;Zone 3;C2;1
BOULIGNEUX;1052;1;AIN;Zone 2;C2;2
BOURG-EN-BRESSE;1053;1;AIN;Zone 3;A2;1
BOURG-SAINT-CHRISTOPHE;1054;1;AIN;Zone 3;A2;2
BOYEUX-SAINT-JEROME;1056;1;AIN;Zone 3;C2;1
BOZ;1057;1;AIN;Zone 2;A2;2
BREGNIER-CORDON;1058;1;AIN;Zone 3;C2;1
BRENAZ;1059;1;AIN;Zone 3;C2;1
BRENOD;1060;1;AIN;Zone 3;C2;1
BRENS;1061;1;AIN;Zone 3;C2;1
BRESSOLLES;1062;1;AIN;Zone 3;A2;2
BRION;1063;1;AIN;Zone 3;C2;1
BRIORD;1064;1;AIN;Zone 3;C2;1
BUELLAS;1065;1;AIN;Zone 2;A2;1
LA BURBANCHE;1066;1;AIN;Zone 3;C2;1
CEIGNES;1067;1;AIN;Zone 3;C2;1
CERDON;1068;1;AIN;Zone 3;C2;1
CERTINES;1069;1;AIN;Zone 3;A2;1
CESSY;1071;1;AIN;Zone 3;C2;1
CEYZERIAT;1072;1;AIN;Zone 3;C2;1
CEYZERIEU;1073;1;AIN;Zone 3;C2;1
CHALAMONT;1074;1;AIN;Zone 3;A2;2
CHALEINS;1075;1;AIN;Zone 2;A2;2
CHALEY;1076;1;AIN;Zone 3;C2;1
CHALLES-LA-MONTAGNE;1077;1;AIN;Zone 3;C2;1
CHALLEX;1078;1;AIN;Zone 3;C2;1
CHAMPAGNE-EN-VALROMEY;1079;1;AIN;Zone 3;C2;1
CHAMPDOR;1080;1;AIN;Zone 3;C2;1
CHAMPFROMIER;1081;1;AIN;Zone 3;C2;1
CHANAY;1082;1;AIN;Zone 3;C2;1
CHANEINS;1083;1;AIN;Zone 2;A2;2
CHANOZ-CHATENAY;1084;1;AIN;Zone 2;A2;2
LA CHAPELLE-DU-CHATELARD;1085;1;AIN;Zone 2;A2;2
CHARIX;1087;1;AIN;Zone 3;C2;1
CHARNOZ-SUR-AIN;1088;1;AIN;Zone 3;A2;2
CHATEAU-GAILLARD;1089;1;AIN;Zone 3;C2;1
CHATENAY;1090;1;AIN;Zone 3;A2;2
CHATILLON-EN-MICHAILLE;1091;1;AIN;Zone 3;C2;1
CHATILLON-LA-PALUD;1092;1;AIN;Zone 3;A2;2
CHATILLON-SUR-CHALARONNE;1093;1;AIN;Zone 2;A2;2
CHAVANNES-SUR-REYSSOUZE;1094;1;AIN;Zone 2;C2;2
CHAVANNES-SUR-SURAN;1095;1;AIN;Zone 3;C2;1
CHAVEYRIAT;1096;1;AIN;Zone 2;A2;2
CHAVORNAY;1097;1;AIN;Zone 3;C2;1
CHAZEY-BONS;1098;1;AIN;Zone 3;C2;1
CHAZEY-SUR-AIN;1099;1;AIN;Zone 3;C2;1
CHEIGNIEU-LA-BALME;1100;1;AIN;Zone 3;C2;1
CHEVILLARD;1101;1;AIN;Zone 3;C2;1
CHEVROUX;1102;1;AIN;Zone 2;A2;2
CHEVRY;1103;1;AIN;Zone 3;C2;1
CHEZERY-FORENS;1104;1;AIN;Zone 3;C2;1
CIVRIEUX;1105;1;AIN;Zone 2;A2;2
CIZE;1106;1;AIN;Zone 3;C2;1
CLEYZIEU;1107;1;AIN;Zone 3;C2;1
COLIGNY;1108;1;AIN;Zone 3;A2;2
COLLONGES;1109;1;AIN;Zone 3;C2;1
COLOMIEU;1110;1;AIN;Zone 3;C2;1
CONAND;1111;1;AIN;Zone 3;C2;1
CONDAMINE;1112;1;AIN;Zone 3;C2;1
CONDEISSIAT;1113;1;AIN;Zone 2;A2;2
CONFORT;1114;1;AIN;Zone 3;C2;1
CONFRANCON;1115;1;AIN;Zone 2;A2;2
CONTREVOZ;1116;1;AIN;Zone 3;C2;1
CONZIEU;1117;1;AIN;Zone 3;C2;1
CORBONOD;1118;1;AIN;Zone 3;C2;1
CORCELLES;1119;1;AIN;Zone 3;C2;1
CORLIER;1121;1;AIN;Zone 3;C2;1
CORMARANCHE-EN-BUGEY;1122;1;AIN;Zone 3;C2;1
CORMORANCHE-SUR-SAONE;1123;1;AIN;Zone 2;A2;2
CORMOZ;1124;1;AIN;Zone 2;A2;2
CORVEISSIAT;1125;1;AIN;Zone 3;C2;1
COURMANGOUX;1127;1;AIN;Zone 3;C2;1
COURTES;1128;1;AIN;Zone 2;A2;2
CRANS;1129;1;AIN;Zone 3;A2;2
CRAS-SUR-REYSSOUZE;1130;1;AIN;Zone 2;A2;2
CRESSIN-ROCHEFORT;1133;1;AIN;Zone 3;C2;1
CROTTET;1134;1;AIN;Zone 2;A2;2
CROZET;1135;1;AIN;Zone 3;C2;1
CRUZILLES-LES-MEPILLAT;1136;1;AIN;Zone 2;A2;2
CULOZ;1138;1;AIN;Zone 3;C2;1
CURCIAT-DONGALON;1139;1;AIN;Zone 2;A2;2
CURTAFOND;1140;1;AIN;Zone 2;A2;2
CUZIEU;1141;1;AIN;Zone 3;C2;1
DAGNEUX;1142;1;AIN;Zone 3;A2;2
DIVONNE-LES-BAINS;1143;1;AIN;Zone 3;C2;1
DOMMARTIN;1144;1;AIN;Zone 2;A2;2
DOMPIERRE-SUR-VEYLE;1145;1;AIN;Zone 3;A2;1
DOMPIERRE-SUR-CHALARONNE;1146;1;AIN;Zone 2;A2;2
DOMSURE;1147;1;AIN;Zone 3;A2;2
DORTAN;1148;1;AIN;Zone 3;C2;1
DOUVRES;1149;1;AIN;Zone 3;C2;1
DROM;1150;1;AIN;Zone 3;C2;1
DRUILLAT;1151;1;AIN;Zone 3;A2;1
ECHALLON;1152;1;AIN;Zone 3;C2;1
ECHENEVEX;1153;1;AIN;Zone 3;C2;1
ETREZ;1154;1;AIN;Zone 2;A2;2
EVOSGES;1155;1;AIN;Zone 3;C2;1
FARAMANS;1156;1;AIN;Zone 3;A2;2
FAREINS;1157;1;AIN;Zone 2;A2;2
FARGES;1158;1;AIN;Zone 3;C2;1
FEILLENS;1159;1;AIN;Zone 2;A2;2
FERNEY-VOLTAIRE;1160;1;AIN;Zone 3;C2;1
FLAXIEU;1162;1;AIN;Zone 3;C2;1
FOISSIAT;1163;1;AIN;Zone 2;A2;2
FRANCHELEINS;1165;1;AIN;Zone 2;A2;2
FRANS;1166;1;AIN;Zone 2;A2;2
GARNERANS;1167;1;AIN;Zone 2;A2;2
GENOUILLEUX;1169;1;AIN;Zone 2;A2;2
BEARD-GEOVREISSIAT;1170;1;AIN;Zone 3;C2;1
GEOVREISSET;1171;1;AIN;Zone 3;C2;1
GERMAGNAT;1172;1;AIN;Zone 3;C2;1
GEX;1173;1;AIN;Zone 3;C2;1
GIRON;1174;1;AIN;Zone 3;C2;1
GORREVOD;1175;1;AIN;Zone 2;A2;2
LE GRAND-ABERGEMENT;1176;1;AIN;Zone 3;C2;1
GRAND-CORENT;1177;1;AIN;Zone 3;C2;1
GRIEGES;1179;1;AIN;Zone 2;A2;2
GRILLY;1180;1;AIN;Zone 3;C2;1
GROISSIAT;1181;1;AIN;Zone 3;C2;1
GROSLEE;1182;1;AIN;Zone 3;C2;1
GUEREINS;1183;1;AIN;Zone 2;A2;2
HAUTECOURT-ROMANECHE;1184;1;AIN;Zone 3;C2;1
HAUTEVILLE-LOMPNES;1185;1;AIN;Zone 3;C2;1
HOSTIAZ;1186;1;AIN;Zone 3;C2;1
HOTONNES;1187;1;AIN;Zone 3;C2;1
ILLIAT;1188;1;AIN;Zone 2;A2;2
INJOUX-GENISSIAT;1189;1;AIN;Zone 3;C2;1
